Date,Sales,Promo,Customers
08-02-2020,7839,1,670
08-03-2020,9373,1,924
08-04-2020,10735,1,658
08-05-2020,7118,1,823
08-06-2020,9240,1,792
08-07-2020,5009,1,501
08-08-2020,6588,0,898
08-09-2020,13355,1,1352
08-10-2020,11285,1,957
08-11-2020,7551,1,657
08-12-2020,5915,1,589
08-13-2020,8733,1,848
08-14-2020,7780,1,891
08-15-2020,11034,1,1145
08-16-2020,6546,0,544
08-17-2020,7893,1,754
08-18-2020,7157,1,734
08-19-2020,5012,0,525
08-20-2020,12816,1,1070
08-21-2020,10635,1,1183
08-22-2020,9708,1,910
08-23-2020,8398,1,801
08-24-2020,6755,1,491
08-25-2020,5588,1,714
08-26-2020,8190,1,652
08-27-2020,7958,1,602
08-28-2020,4957,0,447
08-29-2020,8074,1,907
08-30-2020,9660,1,746
08-31-2020,11094,1,940
09-01-2020,9772,1,821
09-02-2020,8592,1,801
09-03-2020,16191,1,1027
09-04-2020,5904,1,813
09-05-2020,6708,1,518
09-06-2020,13443,1,1403
09-07-2020,6784,1,780
09-08-2020,10136,1,1054
09-09-2020,3824,1,473
