Date,Sales,Promo,Customers
05-01-2019,11177,1,1122
05-02-2019,6625,1,544
05-03-2019,7940,1,627
05-04-2019,8132,1,960
05-05-2019,7189,1,655
05-06-2019,8665,1,969
05-07-2019,10354,1,1004
05-08-2019,13957,1,1436
05-09-2019,3994,1,508
05-10-2019,8912,1,830
05-11-2019,4275,1,409
05-12-2019,17286,1,1659
05-13-2019,6049,1,471
05-14-2019,10485,1,754
05-15-2019,11117,0,805
05-16-2019,9660,1,705
05-17-2019,10252,1,1077
05-18-2019,6940,0,759
05-19-2019,5685,1,768
05-20-2019,3511,1,433
05-21-2019,5324,1,687
05-22-2019,7750,1,651
05-23-2019,6468,1,627
05-24-2019,10141,1,898
05-25-2019,9423,1,594
05-26-2019,7849,1,682
05-27-2019,8052,0,730
05-28-2019,7186,0,595
05-29-2019,10369,1,689
05-30-2019,13016,1,937
05-31-2019,10988,1,1091
06-01-2019,8353,1,614
06-02-2019,5738,1,469
06-03-2019,12157,1,1148
06-04-2019,13943,1,1088
06-05-2019,6756,1,548
06-06-2019,10336,1,1086
06-07-2019,4879,0,564
06-08-2019,11530,1,1372
06-09-2019,6757,1,523
06-10-2019,5195,1,474
06-11-2019,8650,1,763
06-12-2019,5056,1,451
06-13-2019,11404,1,1249
06-14-2019,6461,1,635
06-15-2019,10778,1,1139
06-16-2019,10031,1,1131
06-17-2019,11660,1,839
06-18-2019,11444,1,1228
