Date,Sales,Promo,Customers
03-11-2019,10071,0,625
03-12-2019,8234,1,645
03-14-2019,9593,1,635
03-15-2019,9515,1,915
03-16-2019,6566,1,1162
03-17-2019,7273,1,777
03-18-2019,14190,1,1251
03-19-2019,14180,1,888
03-20-2019,7818,1,608
03-21-2019,13213,0,929
03-22-2019,7301,1,678
03-23-2019,9411,1,494
03-24-2019,4776,1,1235
03-25-2019,4822,1,946
03-26-2019,5651,0,936
03-27-2019,15344,1,718
03-28-2019,8492,1,563
03-29-2019,7248,0,666
03-30-2019,6395,1,441
03-31-2019,10789,1,610
04-01-2019,11144,1,527
04-02-2019,12412,1,690
04-03-2019,12422,1,889
04-04-2019,9091,1,673
04-05-2019,7434,1,619
04-06-2019,8336,1,1025
04-07-2019,5464,0,603
04-08-2019,6938,1,628
04-09-2019,11946,1,776
04-10-2019,8096,1,665
04-11-2019,6670,1,772
04-12-2019,6301,1,846
04-13-2019,7628,1,935
04-14-2019,9379,1,561
04-15-2019,3874,1,636
