Date,Sales,Promo,Customers
10-01-2020,6058,0,745
10-02-2020,8897,1,698
10-03-2020,7834,1,817
10-04-2020,8453,1,735
10-05-2020,5750,1,620
10-06-2020,9716,1,674
10-07-2020,8083,1,770
10-08-2020,4487,1,507
10-09-2020,10779,1,797
10-10-2020,7038,1,684
10-11-2020,10392,1,794
10-12-2020,4565,1,549
10-13-2020,12336,1,1327
10-14-2020,10750,1,1108
10-15-2020,7464,0,780
10-16-2020,18227,1,2041
10-17-2020,8742,1,734
10-18-2020,8560,0,848
10-19-2020,9581,1,694
10-20-2020,10241,1,1286
10-21-2020,5404,1,545
10-22-2020,5291,1,524
10-23-2020,10387,1,743
10-24-2020,8519,1,876
10-25-2020,4872,1,501
10-26-2020,7475,1,619
10-27-2020,9568,0,619
10-28-2020,9047,1,1121
10-29-2020,10130,1,866
10-30-2020,7972,1,564
10-31-2020,9828,1,1085
11-01-2020,8689,1,813
11-02-2020,5283,1,614
11-03-2020,8382,1,720
11-04-2020,8568,1,817
11-05-2020,10893,0,1343
11-06-2020,10130,1,784
11-07-2020,11338,1,1007
11-08-2020,9996,1,848
11-09-2020,7144,1,615
11-10-2020,10826,1,975
